Type;Name;Country Code;Area (km²);1990;2000;2010;2011;2012;2013;2014;2015;2016;2017;2018
Country;Guyana;GUY;214970;743309;746715;749436;752028;755399;759285;763380;767432;771366;775221;779004
Country;Haiti;HTI;27750;7037917;8463806;9949322;10100320;10250930;10400673;10549008;10695542;10839970;10982366;11123176
Country;Honduras;HND;112090;4955303;6574509;8317470;8480671;8640691;8798521;8955589;9112916;9270795;9429013;9587522
Country;Hong Kong SAR, China;HKG;1092;5704500;6665000;7024200;7071600;7150100;7178900;7229500;7291300;7336600;7391700;7451000
Country;Hungary;HUN;93030;10373988;10210971;10000023;9971727;9920362;9893082;9866468;9843028;9814023;9787966;9768785
Country;Iceland;ISL;103000;254826;281205;318041;319014;320716;323764;327386;330815;335439;343400;353574
Country;India;IND;3287590;873277798;1056575549;1234281170;1250288729;1265782790;1280846129;1295604184;1310152403;1324509589;1338658835;1352617328
Country;Indonesia;IDN;1919440;181413402;211513823;241834215;245116206;248452413;251806402;255129004;258383256;261554226;264645886;267663435
Country;Iran, Islamic Rep.;IRN;1648000;56366217;65623405;73762519;74634956;75539862;76481943;77465753;78492215;79564016;80673951;81800269
Country;Iraq;IRQ;437072;17419113;23497585;29741976;30725300;31890011;33157050;34411951;35572261;36610632;37552781;38433600
Country;Ireland;IRL;70280;3513974;3805174;4560155;4580084;4599533;4623816;4657740;4701957;4755335;4807388;4853506
Country;Isle of Man;IMN;572;70298;76941;84857;84886;84533;83976;83488;83234;83287;83598;84077
Country;Israel;ISR;20770;4660000;6289000;7623600;7765800;7910500;8059500;8215700;8380100;8546000;8713300;8883800
Country;Italy;ITA;301230;56719240;56942108;59277417;59379449;59539717;60233948;60789140;60730582;60627498;60536709;60431283
Country;Jamaica;JAM;10991;2419906;2654701;2810460;2825929;2842132;2858709;2875136;2891021;2906238;2920853;2934855
Country;Japan;JPN;377835;123537000;126843000;128070000;127833000;127629000;127445000;127276000;127141000;126994511;126785797;126529100
Country;Jordan;JOR;116;3565890;5122493;7261539;7663131;8090872;8520420;8920049;9266575;9551467;9779173;9956011
Country;Kazakhstan;KAZ;92300;16348000;14883626;16321872;16557201;16792089;17035550;17288285;17542806;17794055;18037776;18276499
Country;Kenya;KEN;2717300;23724579;31964557;42030676;43178257;44343410;45519889;46699981;47878336;49051686;50221473;51393010
Country;Kiribati;KIR;582650;72400;84396;102927;104728;106370;107890;109391;110930;112524;114158;115847
